2.9	-0.979
2.91	-0.979
2.92	-0.979
2.93	-0.979
2.94	-0.979
2.95	-0.979
2.96	-0.979
2.97	-0.979
2.98	-0.979
2.99	-0.979
3	-0.979
3.01	-0.979
3.02	-0.979
3.03	-0.979
3.04	-0.979
3.05	-0.979
3.06	-0.979
3.07	-0.979
3.08	-0.979
3.09	-0.979
3.1	-0.979
3.11	-0.979
3.12	-0.979
3.13	-0.979
3.14	-0.979
3.15	-0.979
3.16	-0.979
3.17	-0.979
3.18	-0.979
3.19	-0.979
3.2	-0.979
3.21	-0.979
3.22	-0.979
3.23	-0.979
3.24	-0.979
3.25	-0.979
3.26	-0.979
3.27	-0.979
3.28	-0.979
3.29	-0.979
3.3	-0.979
3.31	-0.979
3.32	-0.979
3.33	-0.979
3.34	-0.979
3.35	-0.979
3.36	-0.979
3.37	-0.979
3.38	-0.979
3.39	-0.979
3.4	-0.979
3.41	-0.979
3.42	-0.979
3.43	-0.979
3.44	-0.979
3.45	-0.979
3.46	-0.979
3.47	-0.979
3.48	-0.979
3.49	-0.979
3.5	-0.979
3.51	-0.979
3.52	-0.979
3.53	-0.979
3.54	-0.979
3.55	-0.979
3.56	-0.979
3.57	-0.979
3.58	-0.979
3.59	-0.979
3.6	-0.979
3.61	-0.979
3.62	-0.979
3.63	-0.979
3.64	-0.979
3.65	-0.979
3.66	-0.979
3.67	-0.979
3.68	-0.979
3.69	-0.979
3.7	-0.979
3.71	-0.979
3.72	-0.979
3.73	-0.979
3.74	-0.979
3.75	-0.979
3.76	-0.979
3.77	-0.979
3.78	-0.979
3.79	-0.979
3.8	-0.979
3.81	-0.979
3.82	-0.979
3.83	-0.979
3.84	-0.979
3.85	-0.979
3.86	-0.979
3.87	-0.979
3.88	-0.979
3.89	-0.979
3.9	-0.979
3.91	-0.979
3.92	-0.979
3.93	-0.979
3.94	-0.979
3.95	-0.979
3.96	-0.979
3.97	-0.979
3.98	-0.979
3.99	-0.979
4	-0.97867
4.01	-0.97872
4.02	-0.97875
4.03	-0.97876
4.04	-0.97874
4.05	-0.97871
4.06	-0.97866
4.07	-0.97858
4.08	-0.97848
4.09	-0.97837
4.1	-0.97823
4.11	-0.97807
4.12	-0.97789
4.13	-0.97768
4.14	-0.97746
4.15	-0.97721
4.16	-0.97694
4.17	-0.97665
4.18	-0.97633
4.19	-0.976
4.2	-0.97564
4.21	-0.97525
4.22	-0.97485
4.23	-0.97442
4.24	-0.97397
4.25	-0.9735
4.26	-0.973
4.27	-0.97248
4.28	-0.97194
4.29	-0.97137
4.3	-0.97078
4.31	-0.97016
4.32	-0.96952
4.33	-0.96886
4.34	-0.96817
4.35	-0.96746
4.36	-0.96672
4.37	-0.96596
4.38	-0.96518
4.39	-0.96437
4.4	-0.96353
4.41	-0.96267
4.42	-0.96178
4.43	-0.96087
4.44	-0.95994
4.45	-0.95898
4.46	-0.95799
4.47	-0.95698
4.48	-0.95594
4.49	-0.95487
4.5	-0.95378
4.51	-0.95266
4.52	-0.95152
4.53	-0.95035
4.54	-0.94915
4.55	-0.94793
4.56	-0.94668
4.57	-0.9454
4.58	-0.9441
4.59	-0.94277
4.6	-0.94141
4.61	-0.94002
4.62	-0.93861
4.63	-0.93717
4.64	-0.9357
4.65	-0.9342
4.66	-0.93267
4.67	-0.93112
4.68	-0.92954
4.69	-0.92793
4.7	-0.92629
4.71	-0.92462
4.72	-0.92293
4.73	-0.92121
4.74	-0.91945
4.75	-0.91767
4.76	-0.91586
4.77	-0.91402
4.78	-0.91215
4.79	-0.91025
4.8	-0.90832
4.81	-0.90636
4.82	-0.90437
4.83	-0.90235
4.84	-0.9003
4.85	-0.89822
4.86	-0.89611
4.87	-0.89397
4.88	-0.8918
4.89	-0.8896
4.9	-0.88737
4.91	-0.8851
4.92	-0.88281
4.93	-0.88048
4.94	-0.87812
4.95	-0.87573
4.96	-0.8733
4.97	-0.87084
4.98	-0.86834
4.99	-0.86581
5	-0.86325
5.01	-0.86064
5.02	-0.858
5.03	-0.85533
5.04	-0.85261
5.05	-0.84986
5.06	-0.84707
5.07	-0.84423
5.08	-0.84136
5.09	-0.83845
5.1	-0.83549
5.11	-0.8325
5.12	-0.82946
5.13	-0.82638
5.14	-0.82325
5.15	-0.82008
5.16	-0.81687
5.17	-0.81361
5.18	-0.81031
5.19	-0.80696
5.2	-0.80356
5.21	-0.80012
5.22	-0.79662
5.23	-0.79306
5.24	-0.78943
5.25	-0.78573
5.26	-0.78195
5.27	-0.77807
5.28	-0.77411
5.29	-0.77003
5.3	-0.76585
5.31	-0.76156
5.32	-0.75714
5.33	-0.75259
5.34	-0.7479
5.35	-0.74307
5.36	-0.73808
5.37	-0.73294
5.38	-0.72764
5.39	-0.72216
5.4	-0.7165
5.41	-0.71066
5.42	-0.70463
5.43	-0.69839
5.44	-0.69195
5.45	-0.6853
5.46	-0.67842
5.47	-0.67131
5.48	-0.66393
5.49	-0.65628
5.5	-0.64833
5.51	-0.64007
5.52	-0.63146
5.53	-0.62251
5.54	-0.61317
5.55	-0.60345
5.56	-0.59331
5.57	-0.58274
5.58	-0.57172
5.59	-0.56022
5.6	-0.54824
5.61	-0.53576
5.62	-0.52284
5.63	-0.50953
5.64	-0.49592
5.65	-0.48204
5.66	-0.46799
5.67	-0.45381
5.68	-0.43957
5.69	-0.42534
5.7	-0.41118
5.71	-0.39714
5.72	-0.38322
5.73	-0.36941
5.74	-0.35568
5.75	-0.34201
5.76	-0.3284
5.77	-0.31482
5.78	-0.30126
5.79	-0.2877
5.8	-0.27412
5.81	-0.26051
5.82	-0.24687
5.83	-0.2332
5.84	-0.21951
5.85	-0.2058
5.86	-0.19207
5.87	-0.17833
5.88	-0.16458
